ID,Preis,Kilometerstand,Leistung,Erstzulassung,Kraftstoff,Getriebe,Tueren,Halter,Fairer Preis,FairJaNein,Manuell,Automatik,Benzin,Diesel,Elektro
67,19444,17000,131,2019,Benzin,Automatik,5,1,5,ja,0.0,1.0,1.0,0.0,0.0
68,18990,79355,150,2018,Diesel,Manuell,5,1,3,nein,1.0,0.0,0.0,1.0,0.0
69,28950,37200,245,2019,Benzin,Manuell,5,1,4,ja,1.0,0.0,1.0,0.0,0.0
70,18977,58768,220,2017,Benzin,Manuell,5,1,3,nein,1.0,0.0,1.0,0.0,0.0
71,20980,6430,150,2019,Benzin,Manuell,5,1,5,ja,1.0,0.0,1.0,0.0,0.0
72,9299,166000,150,2013,Diesel,Manuell,5,1,4,ja,1.0,0.0,0.0,1.0,0.0
73,22380,14003,131,2019,Benzin,Manuell,5,1,4,ja,1.0,0.0,1.0,0.0,0.0
74,16990,33000,125,2018,Benzin,Manuell,3,1,4,ja,1.0,0.0,1.0,0.0,0.0
75,12450,76200,110,2016,Diesel,Manuell,5,2,3,nein,1.0,0.0,0.0,1.0,0.0
77,33799,14818,265,2016,Benzin,Automatik,5,2,2,nein,0.0,1.0,1.0,0.0,0.0
78,22777,14138,136,2020,Elektro,Automatik,5,1,5,ja,0.0,1.0,0.0,0.0,1.0
80,42980,3000,200,2021,Diesel,Automatik,5,1,5,ja,0.0,1.0,0.0,1.0,0.0
