ID,Preis,Kilometerstand,Leistung,Erstzulassung,Kraftstoff,Getriebe,Tueren,Halter,Preisstufe,FairJaNein,Kilometerspanne,Preisspanne,Manuell,Automatik,Benzin,Diesel,Elektro
64,16890,80000,150,2019,Diesel,Automatik,5,1,5,ja,80000.0,17000.0,0.0,1.0,0.0,1.0,0.0
65,16990,94951,150,2019,Diesel,Automatik,5,1,3,nein,90000.0,17000.0,0.0,1.0,0.0,1.0,0.0
66,10950,149079,150,2013,Diesel,Manuell,5,2,4,ja,150000.0,11000.0,1.0,0.0,0.0,1.0,0.0
67,19444,17000,131,2019,Benzin,Automatik,5,1,5,ja,20000.0,19000.0,0.0,1.0,1.0,0.0,0.0
68,18990,79355,150,2018,Diesel,Manuell,5,1,3,nein,80000.0,19000.0,1.0,0.0,0.0,1.0,0.0
69,28950,37200,245,2019,Benzin,Manuell,5,1,4,ja,40000.0,29000.0,1.0,0.0,1.0,0.0,0.0
70,18977,58768,220,2017,Benzin,Manuell,5,1,3,nein,60000.0,19000.0,1.0,0.0,1.0,0.0,0.0
71,20980,6430,150,2019,Benzin,Manuell,5,1,5,ja,10000.0,21000.0,1.0,0.0,1.0,0.0,0.0
72,9299,166000,150,2013,Diesel,Manuell,5,1,4,ja,170000.0,9000.0,1.0,0.0,0.0,1.0,0.0
73,22380,14003,131,2019,Benzin,Manuell,5,1,4,ja,10000.0,22000.0,1.0,0.0,1.0,0.0,0.0
74,16990,33000,125,2018,Benzin,Manuell,3,1,4,ja,30000.0,17000.0,1.0,0.0,1.0,0.0,0.0
75,12450,76200,110,2016,Diesel,Manuell,5,2,3,nein,80000.0,12000.0,1.0,0.0,0.0,1.0,0.0
77,33799,14818,265,2016,Benzin,Automatik,5,2,2,nein,10000.0,34000.0,0.0,1.0,1.0,0.0,0.0
78,22777,14138,136,2020,Elektro,Automatik,5,1,5,ja,10000.0,23000.0,0.0,1.0,0.0,0.0,1.0
80,42980,3000,200,2021,Diesel,Automatik,5,1,5,ja,0.0,43000.0,0.0,1.0,0.0,1.0,0.0
81,16790,99800,230,2013,Benzin,Manuell,5,1,4,ja,100000.0,17000.0,1.0,0.0,1.0,0.0,0.0
82,33700,54000,310,2017,Benzin,Automatik,5,2,3,nein,50000.0,34000.0,0.0,1.0,1.0,0.0,0.0
83,20888,19000,131,2019,Benzin,Automatik,5,1,3,nein,20000.0,21000.0,0.0,1.0,1.0,0.0,0.0
84,16990,73000,220,2016,Benzin,Manuell,5,2,5,ja,70000.0,17000.0,1.0,0.0,1.0,0.0,0.0
85,21999,119800,300,2014,Benzin,Manuell,5,2,3,nein,120000.0,22000.0,1.0,0.0,1.0,0.0,0.0
86,18400,127000,290,2015,Benzin,Automatik,5,2,3,nein,130000.0,18000.0,0.0,1.0,1.0,0.0,0.0
87,19443,28100,116,2019,Diesel,Automatik,5,2,4,ja,30000.0,19000.0,0.0,1.0,0.0,1.0,0.0
88,25990,47212,245,2018,Benzin,Automatik,5,2,3,nein,50000.0,26000.0,0.0,1.0,1.0,0.0,0.0
89,16900,137000,230,2013,Benzin,Automatik,5,2,4,ja,140000.0,17000.0,0.0,1.0,1.0,0.0,0.0
90,15890,148377,116,2018,Diesel,Manuell,5,1,4,ja,150000.0,16000.0,1.0,0.0,0.0,1.0,0.0
91,23980,22639,150,2020,Diesel,Automatik,5,1,4,ja,20000.0,24000.0,0.0,1.0,0.0,1.0,0.0
93,17499,125000,230,2013,Benzin,Automatik,5,2,3,nein,120000.0,17000.0,0.0,1.0,1.0,0.0,0.0
94,8900,160000,105,2013,Diesel,Manuell,5,2,3,nein,160000.0,9000.0,1.0,0.0,0.0,1.0,0.0
95,16490,33000,125,2018,Benzin,Manuell,3,1,5,ja,30000.0,16000.0,1.0,0.0,1.0,0.0,0.0
96,15990,107000,230,2014,Benzin,Manuell,3,2,4,ja,110000.0,16000.0,1.0,0.0,1.0,0.0,0.0
97,22390,30700,116,2019,Diesel,Manuell,5,1,2,nein,30000.0,22000.0,1.0,0.0,0.0,1.0,0.0
98,20980,6390,150,2019,Benzin,Manuell,5,1,4,ja,10000.0,21000.0,1.0,0.0,1.0,0.0,0.0
99,16650,13650,116,2019,Benzin,Manuell,5,1,4,ja,10000.0,17000.0,1.0,0.0,1.0,0.0,0.0
100,24980,15742,150,2019,Diesel,Automatik,5,1,4,ja,20000.0,25000.0,0.0,1.0,0.0,1.0,0.0
